Order ID,Order Date,Sales,Quantity,Category,Cluster
CA-1000,2015-01-01,380.79,7,Furniture,1
CA-1001,2015-01-02,951.21,4,Furniture,2
CA-1002,2015-01-03,734.67,2,Office Supplies,2
CA-1003,2015-01-04,602.67,5,Technology,2
CA-1004,2015-01-05,164.46,3,Furniture,0
CA-1005,2015-01-06,164.43,9,Furniture,1
CA-1006,2015-01-07,67.5,6,Furniture,0
CA-1007,2015-01-08,867.51,1,Office Supplies,2
CA-1008,2015-01-09,605.1,3,Furniture,2
CA-1009,2015-01-10,710.99,4,Furniture,2
CA-1010,2015-01-11,30.38,9,Furniture,1
CA-1011,2015-01-12,970.21,6,Office Supplies,2
CA-1012,2015-01-13,834.12,4,Technology,2
CA-1013,2015-01-14,220.22,1,Office Supplies,0
CA-1014,2015-01-15,190.01,8,Technology,1
CA-1015,2015-01-16,191.57,2,Technology,0
CA-1016,2015-01-17,311.2,8,Office Supplies,1
CA-1017,2015-01-18,529.51,6,Furniture,1
CA-1018,2015-01-19,437.63,8,Technology,1
CA-1019,2015-01-20,298.32,6,Furniture,1
CA-1020,2015-01-21,615.73,5,Technology,2
CA-1021,2015-01-22,148.1,5,Furniture,0
CA-1022,2015-01-23,299.22,8,Furniture,1
CA-1023,2015-01-24,372.7,7,Office Supplies,1
CA-1024,2015-01-25,461.51,8,Furniture,1
CA-1025,2015-01-26,787.32,8,Technology,1
CA-1026,2015-01-27,207.68,7,Furniture,1
CA-1027,2015-01-28,519.09,2,Furniture,2
CA-1028,2015-01-29,596.49,9,Furniture,1
CA-1029,2015-01-30,55.99,7,Technology,1
CA-1030,2015-01-31,611.47,6,Technology,1
CA-1031,2015-02-01,178.82,9,Technology,1
CA-1032,2015-02-02,74.4,1,Furniture,0
CA-1033,2015-02-03,949.4,2,Office Supplies,2
CA-1034,2015-02-04,965.98,1,Technology,2
CA-1035,2015-02-05,810.31,3,Furniture,2
CA-1036,2015-02-06,311.57,5,Technology,0
CA-1037,2015-02-07,106.7,1,Office Supplies,0
CA-1038,2015-02-08,687.39,4,Furniture,2
CA-1039,2015-02-09,445.75,8,Technology,1
CA-1040,2015-02-10,130.82,6,Technology,0
CA-1041,2015-02-11,500.23,1,Office Supplies,0
CA-1042,2015-02-12,44.04,1,Technology,0
CA-1043,2015-02-13,910.23,3,Furniture,2
CA-1044,2015-02-14,266.19,8,Furniture,1
CA-1045,2015-02-15,665.9,8,Office Supplies,1
CA-1046,2015-02-16,318.59,3,Office Supplies,0
CA-1047,2015-02-17,524.87,7,Office Supplies,1
CA-1048,2015-02-18,551.24,3,Furniture,2
CA-1049,2015-02-19,193.01,4,Office Supplies,0
CA-1050,2015-02-20,969.89,9,Technology,1
CA-1051,2015-02-21,777.38,4,Technology,2
CA-1052,2015-02-22,940.1,3,Furniture,2
